Bulan/Tahun,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kabupaten Bogor,Kabupaten Sukabumi,Kabupaten Cianjur,Kabupaten Bandung,Kabupaten Garut,Kabupaten Tasikmalaya,Kabupaten Ciamis,Kabupaten Kuningan,Kabupaten Cirebon,Kabupaten Majalengka,Kabupaten Sumedang,Kabupaten Indramayu,Kabupaten Subang,Kabupaten Purwakarta,Kabupaten Karawang,Kabupaten Bekasi,Kabupaten Bandung Barat,Kabupaten Pangandaran,Kota Bogor,Kota Sukabumi,Kota Bandung,Kota Cirebon,Kota Bekasi,Kota Depok,Kota Cimahi,Kota Tasikmalaya,Kota Banjar
,Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton)
17-Jan,-35291.67,-5582.74,-10200.2,-19948.08,-5060.93,818.81,942.14,-1935.21,-8053.23,2568.85,-759.46,14895.73,7805.29,-3975.7,4132.81,-19637.26,-9866.99,173.44,-9467.49,-2411.29,-21888.33,-2717.13,-25218.39,-19888.98,-5262.3,-4382.8,-775.31
17-Feb,-60772.66,13784.63,-4631.65,-26604.9,17380.52,26201.56,19050.89,7694.41,1405.65,24767.02,12760.05,73805.54,47600.57,-950.81,45149.67,-20225.63,-11396.49,5884.62,-17873.48,-3903.08,-41339.94,-5088.36,-47874.98,-37768.14,-9931.34,-6118.17,-206.52
17-Mar,-58891.55,71038.19,23219.32,-9582.51,81855.99,90457.34,64418.4,35047.52,36426.24,78506.03,48568.63,205714.04,139699.59,12104.12,145259.72,4281.15,-2259,20356.61,-26966.97,-4548.1,-62408.37,-7591.97,-72781.1,-57438.09,-14977.38,-4777.73,2285.05
17-Apr,-68363.58,113883.46,42565.19,-2231.26,130350.81,139958.87,99441.5,55663.34,61706.38,120282.25,75911.89,309975.77,211976.78,21333.39,222953.9,19172.7,2784.61,31503.39,-35841.88,-5525.41,-82961.07,-10057.49,-96946.22,-76517.32,-19903.88,-4624.65,4043.17
17-May,-88778.22,136488.97,49434.68,-7223.44,156483.78,169235.38,120312.77,66866.81,72975.98,145805.94,91556.78,377363.2,257596.08,24997.61,270141.92,19338.37,1443,38091.14,-45141.59,-7144.35,-104481.6,-12678.84,-122024.52,-96308.04,-25069.17,-6440.02,4733.38
17-Jun,-110617.7,160114.98,57142.13,-12518.11,183710.03,199333.93,141747.83,78524.43,85081.46,171931.14,107715.25,445835.13,304090.99,29017.84,318480.28,20727.92,673.85,44864.53,-54130.9,-8661.88,-125285.09,-15209.67,-146285.15,-115454.26,-30061.81,-8037.46,5492.28
17-Jul,-126101.67,192917.37,70186.44,-7865.25,221127.16,238904.8,169828.31,94480.73,103340.96,205758.56,129294.29,532211.04,363389.22,35445.74,381243.19,28057.15,2416.23,53772.6,-63369.92,-9994.2,-146672.56,-17796.36,-171312.78,-135209.44,-35192.01,-8924.07,6712.63
17-Aug,-144729.91,218298.99,78737.03,-8305.1,250332.26,270983.97,192662.3,106978.17,116513.57,233542.95,146554.76,604768.12,412732.63,39862.36,432671.5,30173.12,1914.24,60992.06,-72653.11,-11535.11,-168156.87,-20408.27,-196377.29,-154990.49,-40347.74,-10486.59,7547.16
17-Sep,-166672.44,241764.84,86347.49,-10920.53,277381.27,300920.83,213984.12,118561.14,128509.26,259537.72,162620.03,672941.8,459012.69,43839.19,480765.23,31450.15,1096.65,67729.01,-81643.37,-13057.15,-188962.44,-22939.65,-220638.72,-174137.27,-45340.93,-12098.61,8297.74
17-Oct,-197702.48,247873.82,83227.33,-24204.63,285258.73,313543.12,223192.32,122075.5,128470.62,271627.61,168664.65,709609.65,482502.2,43032.32,502756.16,20026.61,-5234.25,70562.93,-91041.26,-15139.79,-210698.22,-25617.05,-245799,-193985.49,-50563,-15416.51,8130.28
17-Nov,-232252.94,251746.71,78973.06,-39841.14,290625.62,323699.71,230661.88,124526.09,127035.48,281667.03,173327.64,741297.62,502498.66,41698.84,520923.26,7539.1,-11977.62,72841.44,-100148.14,-17212.57,-231759.45,-28215.01,-270157.8,-213200.56,-55623.62,-18813.1,7862.22
17-Dec,-267277.71,253798.29,73395.9,-56720.29,294013.04,332225.82,237001.49,126149.27,124215.52,290452.82,177011.03,770409.85,520545.25,39792.28,536716.85,-6734.87,-19535.65,74752.09,-109570.19,-19409.26,-253548.17,-30906.2,-295338.26,-233062.93,-60859.65,-22500.56,7483.82
18-Jan,-306914.45,242099.48,58565.6,-83369.91,279892.59,326826.27,232604.95,123424.93,115811.5,290923.57,173417.67,782842.89,526256.36,34985.14,538381.1,-28390.92,-30915.03,75339.27,-119271.34,-22012.57,-275543.18,-33676.77,-321248.8,-253671.73,-66223.06,-27444.5,6478.91
18-Feb,-341580.49,246779.34,52996.17,-103233.54,280670.37,337231.22,237898,131231.36,124645.26,308124.84,180133.53,835922.99,561210.67,36135.23,573692.35,-32106.13,-35869.93,82078.52,-128030.27,-23935.15,-295175.36,-36137.64,-344610.53,-272275.3,-71046.59,-30518.62,6498.5
18-Mar,-357129.81,274328.43,58310.89,-110805.66,301383.6,371170.87,257349.34,154936.88,158521.5,351780.93,202183.21,956087.81,643622.96,45465.76,662386.01,-12973.38,-33546.08,98648.75,-137722.68,-25434.62,-316567.3,-38801.16,-370414.65,-292856.23,-76356.36,-31880.85,7880.53
18-Apr,-380939.21,293142.92,59427.04,-123734.5,314465.17,396151.6,271405.86,172594.19,182852.85,385395.72,218395.39,1050840.04,708043.7,51669.08,730820.82,-2611.78,-34036.57,111489.34,-147104.17,-27106.39,-337389.72,-41400.17,-395407.65,-312778.83,-81505.57,-33915.14,8740.81
18-May,-411608.61,299050.65,53633.76,-136968.9,315971.05,408399.68,277707.43,181726.23,193415.67,405239.33,226305.46,1111601.35,748162.82,53204.07,771526.29,-5970.05,-39268.7,119246.48,-156801.4,-29214.52,-359114.2,-44122.72,-421270.45,-333375.12,-86844.92,-37252.34,8806.68
18-Jun,-443805.11,305860.68,48588.3,-150680.27,318398.31,421348.13,284469.79,191299.65,204815.08,425645.35,234674.4,1173402.48,789123.56,55083.22,813342.07,-8084.21,-43950.49,127198.46,-166185.57,-31223.92,-380121.08,-46754.46,-446296,-353306.25,-92010.54,-40382.14,8936.89
18-Jul,-471691.58,318137.44,46064.09,-161797.64,325556.88,439980.2,294641.32,204720.65,222239.02,452496.95,246745.73,1251646.19,841689.52,58912.43,868170.42,-4823.4,-46958.91,137549.28,-175881.38,-33152.92,-401747.69,-49459.64,-472141.53,-373898.02,-97341.18,-43138.11,9390.11
18-Aug,-501149.51,325779.15,41160.82,-175857.34,328601.71,453966.47,301996.5,215020.36,234669.79,474248.49,255788.71,1317167.11,885197.3,61072.03,912720.87,-6379.63,-51585.64,146012.56,-185578.23,-35212.29,-423445.52,-52177.46,-497999.63,-394493.08,-102678.16,-46317.06,9561.43
18-Sep,-533415.91,332489.14,36064.02,-191311.49,330940.19,466814.81,308698.07,224526.41,245961.43,494544.43,264092.29,1378693.64,925962.54,62915.14,954314.82,-8597.75,-56302.35,153923.8,-194962.42,-37224.49,-444453.94,-54809.48,-523025.46,-414424.28,-107843.91,-49455.99,9685.56
18-Oct,-571284.24,328093.05,24982.03,-212651.24,323301.11,468735.24,308738.81,226719.77,245424.34,503050.52,265270.23,1411171.93,945945.16,60738.54,972172.31,-22664.39,-65132.03,157484.88,-204661.94,-39622.42,-466336.74,-57560.13,-548916.2,-435027.89,-113197.34,-53733.51,9124.78
18-Nov,-612100.82,322565.17,13603.81,-235467.52,314778.1,469317.18,308004.38,227984.73,243532.59,509880.85,265578.07,1439106.65,962794.22,58173.39,986629.65,-37600.85,-74121.54,160412.45,-214048.86,-41978.82,-487533.21,-60225.53,-573975.21,-454967.77,-118379.81,-57989.26,8504.63
18-Dec,-653154.09,315634.8,1221.03,-259165.27,304889.77,468697.46,306505.24,228471.49,240265.43,515598.42,265100.22,1464628.6,977824.17,55083.92,998867.56,-54301.26,-83836.05,162941.49,-223748.95,-44448.02,-509454.95,-62983.09,-599872.82,-475573.18,-123736.71,-62498.05,7789.73
19-Jan,-694707.73,303125.43,-11964.11,-284154.73,290614.3,461941.7,301427.45,223277.91,230845.94,516297.21,260915.89,1476671.74,982431.95,49421.54,1000241.67,-76684.24,-95717.3,162876.44,-233581.25,-47055.84,-531496.38,-65786.31,-626387.39,-496856.6,-129163.24,-67632.42,6740.63
19-Feb,-732703.98,305920.7,-13523.99,-299952.89,291232,469106.26,305161.45,225200.14,237448.63,534126.54,266236.66,1528933.7,1014944.39,48631.28,1035091.43,-80375.43,-101668.55,168067.18,-242452.88,-48957.19,-551184.75,-68285.46,-650244.48,-516066.36,-134052.41,-71156.22,6657.32
19-Mar,-753834.75,329692.52,-67.79,-294830.79,311738.59,496501.52,321502.19,237030.4,266927.2,579097.17,285478.16,1647509.09,1092532.78,54100.21,1122981.58,-60217.64,-101244.5,181515.51,-252261.62,-50396.05,-572659.84,-71004.25,-676523.36,-537313.79,-139447.48,-73423.67,7832.99
19-Apr,-782397.11,345444.65,7628.55,-296713.37,324630.5,516186.03,333034.09,245075.86,287678.86,613766.9,299415.98,1740962.95,1153029,57167.51,1190741.41,-49214.29,-103294.04,191828.6,-261758.66,-52022.18,-593555.39,-73652.22,-702001.65,-557883.02,-144674.81,-76191.09,8526
19-May,-816666.51,349210.96,6394.67,-307471.81,325958.19,524750.35,337564.61,247519.15,295708.97,634325.96,305740.43,1800796.27,1190375.74,56498.61,1230926.45,-52513.56,-109655.15,197825.62,-271580.39,-54105.6,-615342.76,-76417.57,-728410.49,-579150.3,-150087.24,-80039.37,8474.93
19-Jun,-852516.85,353866.04,5942.42,-318676.47,328211.58,533989.36,342545.39,250357.65,304563.17,655454.6,312513.17,1861665.92,1228549.94,56161.26,1272224.29,-54521.83,-115468.43,204005.47,-281084.63,-56089.27,-636411.53,-79091.36,-753960.87,-599730.53,-155324.19,-83683.68,8487.46
19-Jul,-884621.98,363519.94,9031.81,-326267.99,335183.6,548095.6,350551.65,255563.51,318905.54,683197.96,322639.1,1938786.97,1277739.76,57298.72,1326448.89,-50917.71,-119832.67,212195.41,-290902.54,-57983,-658106.99,-81843.01,-780331.46,-620991.97,-160731.51,-87066.72,8797.42
19-Aug,-917838.67,368889.16,8974.94,-337569.49,338047.96,558168.72,356028.44,258758.91,328654.17,705712.96,329998.51,2003326.89,1318310.8,57121.61,1370456.22,-52337.53,-125650.14,218789.45,-300723.23,-60014.78,-679869.33,-84604.63,-806729.89,-642257.66,-166142.54,-90788.34,8844.65
19-Sep,-953749.74,373451.76,8454.8,-350533.1,340212.69,567320.67,360954.63,261554.03,337409.23,726728.75,336711.54,2063925,1356298.98,56755.88,1411533.54,-54454.22,-131494.78,224934.86,-310227.53,-62001.43,-700939.55,-87278.64,-832280.87,-662837.99,-171379.58,-94439.95,8851.51
19-Oct,-994274.67,367693.1,226.71,-371098.28,332408.98,566919.26,359862.1,259528.01,335227.36,735665.04,336885.97,2095790.21,1374485.99,53164.66,1429005.36,-68921.8,-141086.43,227384.19,-320055.44,-64391.75,-722875.6,-90066.15,-858751.59,-684114.72,-176800.26,-99040.89,8216.37
19-Nov,-1037615.44,360942.87,-8600.47,-393436.45,323728.33,565422.61,358109.79,257014.93,331853.63,742876.45,336294.61,2123170.54,1389718.11,49328.08,1443106.14,-84303.12,-150767.98,229316,-329567.09,-66742.89,-744122.4,-92766.48,-884376.06,-704706.27,-182047.1,-103586.45,7529.52
19-Dec,-1081123.41,352841.5,-18548.81,-416762.95,313678.71,562816.03,355634.24,253889.66,327160.07,748954.07,334956.41,2148156.85,1403192.7,45018.11,1454991.55,-101517.58,-161154.19,230892.76,-339396.52,-69208.69,-766095.02,-95559.45,-910862,-725985.32,-187469.82,-108372.51,6750.73
