Bulan/Tahun,Provinsi Jawa Batat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-13,44537.23,86710.39,21306.74,119000.21,19686.85,90580.81,31825.22,90580.81,22138.27,142226.91,15217.55,130992.03,10222.20,102740.82,9225.32,57238.12,18516.97,87137.45,10355.20,102217.49,9953.73,78114.02,14797.86,222592.21,13242.62,158514.05,7944.42,31502.81,19687.47,177835.29,26559.02,83303.31,14055.60,39174.20,3416.00,25070.82,8961.96,555.73,2758.62,3367.09,21749.84,2116.58,2669.32,369.56,22739.74,608.59,17358.99,291.43,5051.43,441.17,5765.23,12242.33,1589.82,6374.84
Apr-13,46021.81,70118.74,20619.42,96230.05,19051.79,73248.58,32321.67,73248.58,21424.13,115012.43,14726.66,105927.29,9892.45,83081.82,8927.73,46285.86,17919.65,70464.09,10021.16,82658.63,9632.65,63167.25,14320.51,180000.19,12815.44,128183.10,7688.15,25474.89,19052.39,143807.31,25702.28,67363.59,13602.19,31678.39,3305.80,20273.63,8672.86,449.39,2669.63,2722.81,21048.23,1711.58,2583.21,298.84,22006.20,492.14,16799.02,235.67,4888.48,356.76,5579.26,9899.81,1538.53,5155.05
May-13,44537.23,48661.00,21306.74,66781.73,19686.85,50833.04,28355.00,50833.04,22138.27,79816.32,15217.55,73511.41,10222.20,57657.12,9225.32,32121.46,18516.97,48900.67,10355.20,57363.43,9953.73,43836.81,14797.86,124916.52,13242.62,88956.50,7944.42,17679.06,19687.47,99799.39,26559.02,46748.98,14055.60,21984.17,3416.00,14069.50,8961.96,311.87,2758.62,1889.57,21749.84,1187.80,2669.32,207.39,22739.74,341.53,17358.99,163.55,5051.43,247.58,5765.23,6870.27,1589.82,3577.50
Jun-13,46021.81,49012.77,20619.42,67264.48,19051.79,51200.51,28953.99,51200.51,21424.13,80393.30,14726.66,74042.82,9892.45,58073.92,8927.73,32353.66,17919.65,49254.17,10021.16,57778.11,9632.65,44153.70,14320.51,125819.53,12815.44,89599.56,7688.15,17806.86,19052.39,100520.83,25702.28,47086.93,13602.19,22143.09,3305.80,14171.20,8672.86,314.12,2669.63,1903.23,21048.23,1196.39,2583.21,208.89,22006.20,344.00,16799.02,164.73,4888.48,249.37,5579.26,6919.94,1538.53,3603.36
Jul-13,46021.81,59858.89,21306.74,82149.57,19686.85,62530.77,29545.45,62530.77,22138.27,98183.69,15217.55,90427.90,10222.20,70925.20,9225.32,39513.27,18516.97,60153.71,10355.20,70563.93,9953.73,53924.55,14797.86,153662.37,13242.62,109427.21,7944.42,21747.37,19687.47,122765.27,26559.02,57506.88,14055.60,27043.18,3416.00,17307.17,8961.96,383.64,2758.62,2324.40,21749.84,1461.14,2669.32,255.12,22739.74,420.13,17358.99,201.18,5051.43,304.56,5765.23,8451.26,1589.82,4400.76
Aug-13,44537.23,51709.64,21306.74,70965.64,19686.85,54017.76,30127.49,54017.76,22138.27,84816.86,15217.55,78116.95,10222.20,61269.37,9225.32,34133.89,18516.97,51964.32,10355.20,60957.28,9953.73,46583.21,14797.86,132742.62,13242.62,94529.67,7944.42,18786.66,19687.47,106051.88,26559.02,49677.83,14055.60,23361.49,3416.00,14950.96,8961.96,331.41,2758.62,2007.96,21749.84,1262.22,2669.32,220.38,22739.74,362.93,17358.99,173.79,5051.43,263.09,5765.23,7300.70,1589.82,3801.63
Sep-13,46021.81,48836.88,20619.42,67023.10,19051.79,51016.78,30701.80,51016.78,21424.13,80104.81,14726.66,73777.12,9892.45,57865.52,8927.73,32237.56,17919.65,49077.42,10021.16,57570.77,9632.65,43995.25,14320.51,125368.03,12815.44,89278.03,7688.15,17742.96,19052.39,100160.11,25702.28,46917.95,13602.19,22063.63,3305.80,14120.35,8672.86,313.00,2669.63,1896.40,21048.23,1192.10,2583.21,208.14,22006.20,342.77,16799.02,164.14,4888.48,248.48,5579.26,6895.10,1538.53,3590.43
Oct-13,44537.23,30545.04,21306.74,41919.61,19686.85,31908.45,31265.53,31908.45,22138.27,50101.57,15217.55,46143.91,10222.20,36192.00,9225.32,20162.99,18516.97,30695.48,10355.20,36007.65,9953.73,27516.84,14797.86,78411.46,13242.62,55838.96,7944.42,11097.34,19687.47,62645.16,26559.02,29344.84,14055.60,13799.70,3416.00,8831.57,8961.96,195.76,2758.62,1186.11,21749.84,745.60,2669.32,130.18,22739.74,214.38,17358.99,102.66,5051.43,155.41,5765.23,4312.54,1589.82,2245.64
Nov-13,46021.81,27320.51,20619.42,37494.32,19051.79,28540.00,31818.53,28540.00,21424.13,44812.54,14726.66,41272.67,9892.45,32371.35,8927.73,18034.46,17919.65,27455.07,10021.16,32206.46,9632.65,24611.99,14320.51,70133.85,12815.44,49944.25,7688.15,9925.83,19052.39,56031.95,25702.28,26247.02,13602.19,12342.92,3305.80,7899.26,8672.86,175.10,2669.63,1060.89,21048.23,666.89,2583.21,116.44,22006.20,191.75,16799.02,91.82,4888.48,139.00,5579.26,3857.28,1538.53,2008.57
Dec-13,45796.87,26089.33,21306.74,35804.66,19686.85,27253.86,32357.99,27253.86,22138.27,42793.09,15217.55,39412.75,10222.20,30912.55,9225.32,17221.75,18516.97,26217.83,10355.20,30755.09,9953.73,23502.87,14797.86,66973.32,13242.62,47693.54,7944.42,9478.53,19687.47,53506.90,26559.02,25064.21,14055.60,11786.69,3416.00,7543.28,8961.96,167.21,2758.62,1013.09,21749.84,636.83,2669.32,111.19,22739.74,183.11,17358.99,87.68,5051.43,132.74,5765.23,3683.46,1589.82,1918.06
Jan-14,42599.29,16378.52,21427.90,28407.97,19776.25,14654.55,32886.06,14654.55,22348.61,30794.76,15292.43,27887.00,10280.86,14200.77,9281.02,11285.83,18663.06,16460.03,10406.58,20076.15,10010.27,15041.13,14880.48,43091.39,13386.00,30540.11,8050.63,6297.78,19906.32,35532.94,27625.82,13897.32,14239.00,8124.88,3435.38,4970.61,9118.55,79.64,2786.74,695.45,21858.64,307.95,2694.59,71.88,23377.69,111.48,17990.00,64.29,5122.42,106.13,5792.82,2102.48,1596.98,1124.28
Feb-14,47163.50,39590.47,19354.23,68668.28,17862.42,35423.25,33399.06,35423.25,20185.84,74437.66,13812.52,67408.97,9285.94,34326.37,8382.85,27280.32,16856.96,39787.49,9399.49,48528.44,9041.54,36357.69,13440.43,104161.31,12090.58,73822.12,7271.54,15223.11,17979.90,85890.88,24952.36,33592.85,12861.03,19639.61,3102.93,12015.05,8236.11,192.50,2517.06,1681.04,19743.29,744.38,2433.82,173.76,21115.33,269.47,16249.03,155.40,4626.70,256.54,5232.22,5082.15,1442.43,2717.63
Mar-14,45642.10,80211.37,21427.90,139123.81,19776.25,71768.47,27440.32,71768.47,22348.61,150812.74,15292.43,136572.42,10280.86,69546.17,9281.02,55270.67,18663.06,80610.54,10406.58,98319.94,10010.27,73661.67,14880.48,211033.66,13386.00,149565.64,8050.63,30842.44,19906.32,174017.27,27625.82,68060.04,14239.00,39790.39,3435.38,24342.81,9118.55,390.02,2786.74,3405.84,21858.64,1508.14,2694.59,352.04,23377.69,545.96,17990.00,314.84,5122.42,519.77,5792.82,10296.57,1596.98,5505.98
Apr-14,47163.50,64863.29,20736.68,112503.10,19138.31,58035.90,28019.99,58035.90,21627.69,121955.40,14799.12,110439.90,9949.22,56238.83,8981.63,44694.87,18061.03,65186.07,10070.89,79506.86,9687.36,59566.84,14400.46,170653.32,12954.19,120946.93,7790.93,24940.88,19264.18,140719.85,26734.67,55037.06,13779.68,32176.67,3324.56,19684.92,8824.41,315.39,2696.85,2754.15,21153.52,1219.57,2607.67,284.68,22623.57,441.50,17409.68,254.59,4957.18,420.31,5605.95,8326.37,1545.46,4452.44
May-14,45642.10,45013.82,21427.90,78074.89,19776.25,40275.75,28592.37,40275.75,22348.61,84634.60,15292.43,76643.08,10280.86,39028.62,9281.02,31017.35,18663.06,45237.83,10406.58,55176.17,10010.27,41338.19,14880.48,118429.98,13386.00,83934.74,8050.63,17308.47,19906.32,97656.75,27625.82,38194.61,14239.00,22329.97,3435.38,13660.94,9118.55,218.87,2786.74,1911.32,21858.64,846.35,2694.59,197.56,23377.69,306.39,17990.00,176.68,5122.42,291.69,5792.82,5778.33,1596.98,3089.90
Jun-14,47163.50,45339.22,20736.68,78639.29,19138.31,40566.90,29155.63,40566.90,21627.69,85246.41,14799.12,77197.12,9949.22,39310.75,8981.63,31241.57,18061.03,45564.85,10070.89,55575.03,9687.36,41637.02,14400.46,119286.10,12954.19,84541.50,7790.93,17433.59,19264.18,98362.70,26734.67,38470.72,13779.68,22491.39,3324.56,13759.70,8824.41,220.46,2696.85,1925.14,21153.52,852.47,2607.67,198.99,22623.57,308.60,17409.68,177.96,4957.18,293.80,5605.95,5820.11,1545.46,3112.24
Jul-14,47163.50,55372.42,21427.90,96041.52,19776.25,49544.02,29711.42,49544.02,22348.61,104110.75,15292.43,94280.22,10280.86,48009.90,9281.02,38155.07,18663.06,55647.98,10406.58,67873.33,10010.27,50850.96,14880.48,145683.14,13386.00,103249.84,8050.63,21291.50,19906.32,120129.57,27625.82,46983.98,14239.00,27468.55,3435.38,16804.60,9118.55,269.24,2786.74,2351.16,21858.64,1041.12,2694.59,243.02,23377.69,376.90,17990.00,217.34,5122.42,358.81,5792.82,7108.05,1596.98,3800.95
Aug-14,45642.10,47833.96,21427.90,82966.33,19776.25,42799.05,30256.96,42799.05,22348.61,89937.01,15292.43,81444.81,10280.86,41473.78,9281.02,32960.60,18663.06,48072.00,10406.58,58632.99,10010.27,43928.06,14880.48,125849.69,13386.00,89193.30,8050.63,18392.86,19906.32,103775.01,27625.82,40587.53,14239.00,23728.95,3435.38,14516.81,9118.55,232.59,2786.74,2031.07,21858.64,899.38,2694.59,209.94,23377.69,325.58,17990.00,187.75,5122.42,309.96,5792.82,6140.35,1596.98,3283.49
Sep-14,47163.50,45176.52,20736.68,78357.09,19138.31,40421.32,30792.13,40421.32,21627.69,84940.51,14799.12,76920.10,9949.22,39169.68,8981.63,31129.46,18061.03,45401.34,10070.89,55375.60,9687.36,41487.61,14400.46,118858.04,12954.19,84238.12,7790.93,17371.03,19264.18,98009.73,26734.67,38332.67,13779.68,22410.68,3324.56,13710.32,8824.41,219.67,2696.85,1918.23,21153.52,849.41,2607.67,198.28,22623.57,307.50,17409.68,177.32,4957.18,292.74,5605.95,5799.22,1545.46,3101.07
Oct-14,45642.10,28255.66,21427.90,49008.46,19776.25,25281.52,31314.19,25281.52,22348.61,53126.05,15292.43,48109.69,10280.86,24498.69,9281.02,19469.92,18663.06,28396.27,10406.58,34634.68,10010.27,25948.43,14880.48,74339.78,13386.00,52686.75,8050.63,10864.71,19906.32,61300.20,27625.82,23975.17,14239.00,14016.76,3435.38,8575.12,9118.55,137.39,2786.74,1199.76,21858.64,531.27,2694.59,124.01,23377.69,192.32,17990.00,110.91,5122.42,183.10,5792.82,3627.12,1596.98,1939.57
Nov-14,47163.50,25272.82,20736.68,43834.82,19138.31,22612.65,31825.22,22612.65,21627.69,47517.74,14799.12,43030.93,9949.22,21912.45,8981.63,17414.56,18061.03,25398.59,10070.89,30978.43,9687.36,23209.15,14400.46,66492.01,12954.19,47124.81,7790.93,9717.77,19264.18,54828.97,26734.67,21444.21,13779.68,12537.07,3324.56,7669.88,8824.41,122.89,2696.85,1073.10,21153.52,475.18,2607.67,110.92,22623.57,172.02,17409.68,99.20,4957.18,163.77,5605.95,3244.22,1545.46,1734.81
Dec-14,46932.99,24133.92,21427.90,41859.43,19776.25,21593.62,32321.67,21593.62,22348.61,45376.38,15292.43,41091.77,10280.86,20924.98,9281.02,16629.78,18663.06,24254.02,10406.58,29582.40,10010.27,22163.25,14880.48,63495.59,13386.00,45001.16,8050.63,9279.84,19906.32,52358.14,27625.82,20477.84,14239.00,11972.09,3435.38,7324.24,9118.55,117.35,2786.74,1024.75,21858.64,453.77,2694.59,105.92,23377.69,164.27,17990.00,94.73,5122.42,156.39,5792.82,3098.02,1596.98,1656.64
Jan-15,43626.24,15579.76,21535.02,26672.45,19851.33,15298.32,28355.00,15298.32,22547.99,29119.73,15357.99,26686.39,10339.07,12744.09,9337.04,11237.24,18809.84,14037.02,10457.86,19346.96,10061.20,13723.91,14963.32,40963.82,13530.16,32539.43,8153.17,6695.32,20113.85,37623.64,28716.76,14176.34,14415.15,6506.62,3454.52,5267.92,9270.74,113.58,2814.31,774.67,21953.01,337.80,2720.33,76.76,24017.46,96.53,18632.22,46.70,5189.34,70.90,5816.55,2083.66,1605.03,1215.87
Feb-15,48300.48,37659.68,19450.98,64473.14,17930.23,36979.39,28953.99,36979.39,20365.93,70388.74,13871.74,64506.84,9338.52,30805.26,8433.46,27162.87,16989.53,33930.54,9445.81,46765.83,9087.54,33173.70,13515.26,99018.50,12220.79,78654.92,7364.16,16184.06,18167.35,90944.56,25937.72,34267.32,13020.13,15727.93,3120.21,12733.70,8373.57,274.56,2541.96,1872.54,19828.53,816.54,2457.07,185.54,21693.19,233.33,16829.10,112.87,4687.15,171.38,5253.66,5036.67,1449.70,2939.01
Mar-15,46742.40,76299.55,21535.02,130624.35,19851.33,74921.25,29545.45,74921.25,22547.99,142609.52,15357.99,130692.62,10339.07,62412.30,9337.04,55032.72,18809.84,68744.20,10457.86,94748.84,10061.20,67210.82,14963.32,200614.20,13530.16,159357.02,8153.17,32789.34,20113.85,184256.17,28716.76,69426.53,14415.15,31865.22,3454.52,25798.83,9270.74,556.26,2814.31,3793.81,21953.01,1654.34,2720.33,375.91,24017.46,472.73,18632.22,228.68,5189.34,347.21,5816.55,10204.43,1605.03,5954.52
Apr-15,48300.48,61699.97,20840.34,105629.96,19210.96,60585.40,30127.49,60585.40,21820.64,115321.83,14862.57,105685.17,10005.55,50469.99,9035.85,44502.46,18203.07,55590.31,10120.51,76619.08,9736.65,54350.33,14480.63,162227.57,13093.70,128864.77,7890.17,26515.25,19465.02,148999.58,27790.42,56142.07,13950.14,25767.95,3343.08,20862.34,8971.68,449.83,2723.53,3067.88,21244.85,1337.79,2632.58,303.98,23242.70,382.27,18031.18,184.93,5021.95,280.77,5628.92,8251.85,1553.25,4815.15
May-15,46742.40,42818.54,21535.02,73305.08,19851.33,42045.05,30701.80,42045.05,22547.99,80031.04,15357.99,73343.39,10339.07,35025.16,9337.04,30883.81,18809.84,38578.56,10457.86,53172.10,10061.20,37718.04,14963.32,112582.68,13530.16,89429.56,8153.17,18401.05,20113.85,103402.72,28716.76,38961.47,14415.15,17882.44,3454.52,14478.05,9270.74,312.17,2814.31,2129.05,21953.01,928.40,2720.33,210.96,24017.46,265.29,18632.22,128.33,5189.34,194.85,5816.55,5726.62,1605.03,3341.62
Jun-15,48300.48,43128.07,20840.34,73834.99,19210.96,42348.99,31265.53,42348.99,21820.64,80609.57,14862.57,73873.58,10005.55,35278.35,9035.85,31107.07,18203.07,38857.44,10120.51,53556.48,9736.65,37990.70,14480.63,113396.53,13093.70,90076.04,7890.17,18534.07,19465.02,104150.21,27790.42,39243.12,13950.14,18011.71,3343.08,14582.71,8971.68,314.43,2723.53,2144.44,21244.85,935.11,2632.58,212.48,23242.70,267.21,18031.18,129.26,5021.95,196.26,5628.92,5768.02,1553.25,3365.77
Jul-15,48300.48,52671.97,21535.02,90174.07,19851.33,51720.48,31818.53,51720.48,22547.99,98447.82,15357.99,90221.21,10339.07,43085.17,9337.04,37990.81,18809.84,47456.27,10457.86,65408.09,10061.20,46397.73,14963.32,138490.26,13530.16,110009.14,8153.17,22635.51,20113.85,127197.81,28716.76,47927.30,14415.15,21997.56,3454.52,17809.74,9270.74,384.01,2814.31,2618.99,21953.01,1142.04,2720.33,259.50,24017.46,326.34,18632.22,157.87,5189.34,239.69,5816.55,7044.43,1605.03,4110.59
Aug-15,46742.40,45501.15,21535.02,77897.68,19851.33,44679.20,32357.99,44679.20,22547.99,85045.03,15357.99,77938.40,10339.07,37219.51,9337.04,32818.70,18809.84,40995.53,10457.86,56503.37,10061.20,40081.10,14963.32,119636.05,13530.16,95032.38,8153.17,19553.89,20113.85,109880.96,28716.76,41402.43,14415.15,19002.79,3454.52,15385.11,9270.74,331.73,2814.31,2262.43,21953.01,986.56,2720.33,224.17,24017.46,281.91,18632.22,136.38,5189.34,207.06,5816.55,6085.40,1605.03,3550.97
Sep-15,48300.48,42973.31,20840.34,73570.03,19210.96,42197.02,32886.06,42197.02,21820.64,80320.30,14862.57,73608.49,10005.55,35151.76,9035.85,30995.44,18203.07,38718.00,10120.51,53364.29,9736.65,37854.37,14480.63,112989.61,13093.70,89752.80,7890.17,18467.56,19465.02,103776.47,27790.42,39102.30,13950.14,17947.08,3343.08,14530.38,8971.68,313.30,2723.53,2136.74,21244.85,931.76,2632.58,211.72,23242.70,266.25,18031.18,128.80,5021.95,195.56,5628.92,5747.32,1553.25,3353.69
Oct-15,46742.40,26877.66,21535.02,46014.39,19851.33,26392.14,33399.06,26392.14,22547.99,50236.35,15357.99,46038.44,10339.07,21985.67,9337.04,19386.10,18809.84,24216.18,10457.86,33376.71,10061.20,23676.02,14963.32,70669.37,13530.16,56135.91,8153.17,11550.54,20113.85,64907.01,28716.76,24456.54,14415.15,11225.00,3454.52,9088.03,9270.74,195.95,2814.31,1336.43,21953.01,582.77,2720.33,132.42,24017.46,166.52,18632.22,80.56,5189.34,122.31,5816.55,3594.66,1605.03,2097.57
Nov-15,48300.48,24040.29,20840.34,41156.83,19210.96,23606.02,28355.00,23606.02,21820.64,44933.09,14862.57,41178.34,10005.55,19664.73,9035.85,17339.59,18203.07,21659.77,10120.51,29853.25,9736.65,21176.63,14480.63,63209.07,13093.70,50209.85,7890.17,10331.19,19465.02,58055.02,27790.42,21874.75,13950.14,10040.02,3343.08,8128.64,8971.68,175.27,2723.53,1195.34,21244.85,521.25,2632.58,118.44,23242.70,148.95,18031.18,72.05,5021.95,109.40,5628.92,3215.19,1553.25,1876.14
Dec-15,48064.41,22956.93,21535.02,39302.12,19851.33,22542.23,28953.99,22542.23,22547.99,42908.21,15357.99,39322.66,10339.07,18778.55,9337.04,16558.19,18809.84,20683.68,10457.86,28507.93,10061.20,20222.32,14963.32,60360.59,13530.16,47947.18,8153.17,9865.62,20113.85,55438.81,28716.76,20888.98,14415.15,9587.57,3454.52,7762.33,9270.74,167.37,2814.31,1141.48,21953.01,497.76,2720.33,113.10,24017.46,142.23,18632.22,68.81,5189.34,104.47,5816.55,3070.30,1605.03,1791.59
Jan-16,44646.82,17483.28,21626.98,27426.21,19913.90,16542.72,29545.45,16542.72,22731.85,31222.85,15413.53,27860.82,10398.41,19898.27,9394.27,12268.32,18958.64,16964.17,10510.01,20713.63,10103.88,15641.50,15046.74,46475.33,13677.12,33771.56,8251.40,7133.72,20310.24,38257.80,29828.61,17377.28,14582.92,8097.23,3475.17,5472.15,9419.05,189.30,2840.67,761.57,22033.98,346.38,2746.80,97.27,24657.79,138.38,19284.33,108.05,5255.17,105.31,5835.39,2524.92,1609.24,1383.13
Feb-16,49430.41,42260.91,19534.05,66295.14,17986.75,39987.37,30127.49,39987.37,20531.99,75472.45,13921.90,67345.69,9392.11,48098.48,8485.15,29655.22,17123.93,41006.12,9492.91,50069.37,9126.09,37808.92,13590.60,112341.03,12353.53,81633.25,7452.88,17243.76,18344.74,92477.47,26941.97,42004.69,13171.67,19572.78,3138.86,13227.39,8507.53,457.57,2565.77,1840.88,19901.66,837.27,2480.98,235.12,22271.55,334.49,17418.10,261.19,4746.61,254.56,5270.67,6103.29,1453.51,3343.32
Mar-16,47835.88,85621.77,21626.98,134315.76,19913.90,81015.51,30701.80,81015.51,22731.85,152909.25,15413.53,136444.20,10398.41,97448.83,9394.27,60082.29,18958.64,83079.51,10510.01,101441.91,10103.88,76601.91,15046.74,227606.01,13677.12,165391.20,8251.40,34936.34,20310.24,187361.89,29828.61,85102.66,14582.92,39654.99,3475.17,26799.06,9419.05,927.05,2840.67,3729.68,22033.98,1696.34,2746.80,476.36,24657.79,677.68,19284.33,529.17,5255.17,515.74,5835.39,12365.43,1609.24,6773.65
Apr-16,49430.41,69238.43,20929.34,108615.04,19271.51,65513.56,31265.53,65513.56,21998.56,123650.75,14916.32,110336.22,10062.98,78802.44,9091.23,48585.82,18347.07,67182.62,10170.98,82031.46,9777.95,61944.48,14561.36,184054.63,13235.92,133744.34,7985.23,28251.43,19655.07,151511.03,28866.40,68818.65,14112.50,32067.19,3363.06,21671.18,9115.21,749.67,2749.04,3016.02,21323.21,1371.75,2658.19,385.21,23862.38,548.01,18662.25,427.92,5085.65,417.06,5647.15,9999.36,1557.33,5477.54
May-16,47835.88,48050.08,21626.98,75376.66,19913.90,45465.10,31818.53,45465.10,22731.85,85811.14,15413.53,76571.12,10398.41,54687.31,9394.27,33717.58,18958.64,46623.39,10510.01,56928.18,10103.88,42988.22,15046.74,127730.22,13677.12,92815.88,8251.40,19605.92,20310.24,105145.62,29828.61,47758.76,14582.92,22253.99,3475.17,15039.37,9419.05,520.25,2840.67,2093.06,22033.98,951.97,2746.80,267.33,24657.79,380.31,19284.33,296.97,5255.17,289.43,5835.39,6939.36,1609.24,3801.31
Jun-16,49430.41,48397.43,20929.34,75921.55,19271.51,45793.76,32357.99,45793.76,21998.56,86431.46,14916.32,77124.65,10062.98,55082.64,9091.23,33961.32,18347.07,46960.43,10170.98,57339.71,9777.95,43298.98,14561.36,128653.57,13235.92,93486.84,7985.23,19747.65,19655.07,105905.70,28866.40,48104.00,14112.50,22414.86,3363.06,15148.08,9115.21,524.01,2749.04,2108.19,21323.21,958.85,2658.19,269.26,23862.38,383.05,18662.25,299.11,5085.65,291.52,5647.15,6989.52,1557.33,3828.78
Jul-16,49430.41,59107.38,21626.98,92722.37,19913.90,55927.55,32886.06,55927.55,22731.85,105558.04,15413.53,94191.70,10398.41,67271.98,9394.27,41476.69,18958.64,57352.39,10510.01,70028.53,10103.88,52880.69,15046.74,157123.56,13677.12,114174.72,8251.40,24117.65,20310.24,129341.78,29828.61,58749.03,14582.92,27375.08,3475.17,18500.23,9419.05,639.97,2840.67,2574.71,22033.98,1171.04,2746.80,328.85,24657.79,467.82,19284.33,365.30,5255.17,356.03,5835.39,8536.24,1609.24,4676.06
